item,type,season,seed_price,growth_time,regrowth_time,second_season_harvest,yield_per_harvest,number_harvests,speed-gro_number_harvest ,deluxe_speed-gro_number_harvest ,hyper_speed-gro_number_harvest ,agriculturalist_speed-gro_number_harvest ,agriculturalist_deluxe-gro_number_harvest ,agriculturalist_hyper-gro_number_harvest ,base_price,base_price_silver,base_price_gold,base_price_iridium,tiller_price,tiller_price_silver,tiller_price_gold,tiller_price_iridium,keg_product,keg_base_price,keg_base_price_silver,keg_base_price_gold,keg_base_price_iridium,artisan_keg_price,artisan_keg_price_silver,artisan_keg_price_gold,artisan_keg_price_iridium,perserves_jar_product,perserves_base_jar_price,artisan_preserves_jar_price,dehydrator_product,dehydrator_base_price,dehydrator_base_price_silver,dehydrator_base_price_gold,dehydrator_base_price_iridium,artisan_dehydrator_base_price,artisan_dehydrator_base_price_silver,artisa_dehydrator_base_price_gold,artisan_dehydrator_base_price_iridium
salmonberry,foragable,spring,,,,,1,,,,,,,,5,6,7,10,16,,,33,wine,15,18,22,30,21,26,31,42,jelly,60,84,dried_fruit,12,14,15,20,17,,,
qi_fruit,fruit,spring,,4,,,1,6,9,9,13,9,13,13,1,,,,1,,,,wine,3,3,4,6,4,4,5,8,,,,,,,,,,,,
qi_fruit,fruit,summer,,4,,,1,6,9,9,13,9,13,13,1,,,,1,,,,wine,3,3,4,6,4,4,5,8,,,,,,,,,,,,
qi_fruit,fruit,fall,,4,,,1,6,9,9,13,9,13,13,1,,,,1,,,,wine,3,3,4,6,4,4,5,8,,,,,,,,,,,,
qi_fruit,fruit,winter,,4,,,1,6,9,9,13,9,13,13,1,,,,1,,,,wine,3,3,4,6,4,4,5,8,,,,,,,,,,,,
sweet_gem_berry,fruit,fall,1000,24,,,1,1,1,1,1,1,1,2,3000,3750,4500,6000,,,,,,,,,,,,,,,,,,,,,,,,,
fairy_rose,flower,fall,200,12,,,1,2,2,3,3,3,3,4,290,362,435,580,319,398,478,638,,,,,,,,,,,,,,,,,,,,,
purple_mushroom,foragable,fall,,,,,,,,,,,,,250,312,375,500,,,,,,,,,,,,,,,,,dried_mushrooms,380,473,567,755,532,662.2,793.8,1057
chanterelle,foragable,fall,,,,,,,,,,,,,160,200,240,320,,,,,,,,,,,,,,,,,dried_mushrooms,245,305,365,485,343,19,511,679
morel,foragable,spring,,,,,1,,,,,,,,150,187,225,300,,,,,,,,,,,,,,,,,dried_mushrooms,230,285,342,455,322,,,
poppy,flower,summer,100,7,,,1,3,4,5,6,5,6,9,140,175,210,280,154,192,231,308,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4
summer_spangle,flower,summer,50,8,,,1,3,3,4,5,4,5,6,90,112,135,180,99,123,148,198,,,,,,,,,,,,,,,,,,,202,242,1.4
sunflower,flower,summer,200,8,,,1,3,3,4,5,4,5,6,80,100,120,160,88,110,132,176,,,,,,,,,,,,,,,,,,,1.4,478.8,1.4
sunflower,flower,fall,200,8,,,1,3,3,4,5,4,5,6,80,100,120,160,88,110,132,176,,,,,,,,,,,,,,,,,,,137,163,1.4
holly,foragable,winter,30,,,,,,,,,,,,80,100,120,160,,,,,,,,,,,,,,,,,,,,,,,1.4,2368,1.4
red_mushroom,foragable,fall,,,,,,,,,,,,,75,93,112,150,,,,,,,,,,,,,,,,,,,,,,,,,
red_mushroom,foragable,summer,,,,,,,,,,,,,75,93,112,150,,,,,,,,,,,,,,,,,,,,,,,,,
crocus,flower,winter,38,7,,,1,3,4,5,6,5,6,9,60,75,90,120,66,82,99,132,,,,,,,,,,,,,,,,,,,269,1.4,1.4
blue_jazz,flower,spring,30,7,,,1,3,4,5,6,5,6,7,50,62,75,100,55,68,82,110,,,,,,,,,,,,,,,,,,,,,
sweet_pea,flower,summer,21,7,,,1,3,4,5,6,5,6,9,50,62,75,100,55,68,82,110,,,,,,,,,,,,,,,,,,,,,
common_mushroom,foragable,spring,23,,,,,,,,,,,,40,50,60,80,,,,,,,,,,,,,,,,,dried_mushrooms,65,80,95,125,91,,,
common_mushroom,foragable,summer,23,,,,,,,,,,,,40,50,60,80,,,,,,,,,,,,,,,,,dried_mushrooms,65,80,95,125,91,,,
common_mushroom,foragable,fall,23,,,,,,,,,,,,40,50,60,80,,,,,,,,,,,,,,,,,dried_mushrooms,65,80,95,125,91,,,
dandelion,foragable,spring,18,7,,,1,3,4,5,6,5,6,7,40,50,60,80,,,,,,,,,,,,,,,,,,,,,,,,,
daffodil,foragable,spring,18,7,,,1,3,4,5,6,5,6,7,30,37,45,60,,,,,,,,,,,,,,,,,,,,,,,,,
tulip,flower,spring,20,6,,,1,4,5,6,6,6,9,9,30,37,45,60,33,40,49,66,,,,,,,,,,,,,,,,,,,,,
